# gsd	gsr	firingRate	maxFreq	ampFreq	ampOscil	class	meanEv	meanCT	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10
0	0.000241	7.86	3.94	9.87365e+06	84.9637	4	1.99949	254.362	-10	-10	-10	0	0	0	0	0	0.016177	0
0	0.000242	7.826	3.92	1.2365e+07	85.0184	4	1.99949	255.474	-10	-10	-10	0	0	0	0	0	0.0192149	0
0	0.000243	7.791	3.9	1.3632e+07	85.0757	4	1.99974	256.721	-10	-10	-10	0	0	0	0	0	0.0127868	0
0	0.000244	7.752	3.88	1.40488e+07	85.1364	4	1.99948	257.935	-10	-10	-10	0	0	0	0	0	0.0179777	0
0	0.000245	7.712	3.86	1.37501e+07	85.2011	4	1.99948	259.318	-10	-10	-10	0	0	0	0	0	0.031456	0
0	0.000246	7.664	3.84	1.21586e+07	85.2711	4	1.99948	260.836	-10	-10	-10	0	0	0	0	0	0.0235037	0
0	0.000247	7.616	3.8	1.1421e+07	85.3479	4	1.99947	262.529	-10	-10	-10	0	0	0	0	0	0.0258801	0
0	0.000248	7.56	3.78	1.52991e+07	85.4344	4	1.99947	264.463	-10	-10	-10	0	0	0	0	0	0.0344847	0
0	0.000249	7.496	3.74	1.17822e+07	85.5349	4	1.99947	266.749	-10	-10	-10	0	0	0	0	0	0.0334084	0
0	0.00025	7.416	3.7	1.16801e+07	85.6586	4	1.99946	269.606	-10	-10	-10	0	0	0	0	0	0.0306325	0
0	0.000251	7.308	3.66	1.36637e+07	85.8274	4	1.99945	273.59	-10	-10	-10	0	0	0	0	0	0.0299474	0
0	0.000252	7.114	3.56	1.56043e+07	86.1332	4	1.99944	281.077	-10	-10	-10	0	0	0	0	0	0.0457048	0
0	0.000253	3.614	3.62	1.36698e+07	85.3098	3	1	276.703	-10	-10	-10	0	0	0	0	0	0.0470684	0
0	0.000254	3.741	3.74	1.49358e+07	84.7054	3	1	267.272	-10	-10	-10	0	0	0	0	0	0.068406	0
0	0.000255	3.801	3.8	1.45777e+07	84.4069	3	1	263.081	-10	-10	-10	0	0	0	0	0	0.0676568	0
0	0.000256	3.839	3.84	1.42496e+07	84.2105	3	1	260.505	-10	-10	-10	0	0	0	0	0	0.0448104	0
0	0.000257	3.864	3.86	1.28255e+07	84.0677	3	1	258.746	-10	-10	-10	0	0	0	0	0	0.0666371	0
0	0.000258	3.884	3.88	1.31978e+07	83.9584	3	1	257.49	-10	-10	-10	0	0	0	0	0	0.0882803	0
0	0.000259	3.897	3.9	1.34147e+07	83.8723	3	1	256.58	-10	-10	-10	0	0	0	0	0	0.0442346	0
0	0.00026	3.907	3.9	1.07917e+07	83.8035	3	1	255.926	-10	-10	-10	0	0	0	0	0	0.0660692	0
0	0.000261	3.914	3.92	1.18274e+07	83.7479	3	1	255.473	-10	-10	-10	0	0	0	0	0	0.0877189	0
0	0.000262	3.919	3.92	1.3348e+07	83.7028	3	1	255.183	-10	-10	-10	0	0	0	0	0	0.0659289	0
0	0.000263	3.921	3.92	1.32859e+07	83.6664	3	1	255.031	-10	-10	-10	0	0	0	0	0	0.0659289	0
0	0.000264	3.922	3.92	1.31283e+07	83.6374	3	1	254.997	-10	-10	-10	0	0	0	0	0	0.0659289	0
0	0.000265	3.921	3.92	1.31789e+07	83.6146	3	1	255.071	-10	-10	-10	0	0	0	0	0	0.0659289	0
0	0.000266	3.918	3.92	1.2869e+07	83.5972	3	1	255.241	-10	-10	-10	0	0	0	0	0	0.0659289	0
0	0.000267	3.914	3.92	1.11439e+07	83.5846	3	1	255.502	-10	-10	-10	0	0	0	0	0	0.0877189	0
0	0.000268	3.908	3.9	9.41223e+06	83.5764	3	1	255.849	-10	-10	-10	0	0	0	0	0	0.0660692	0
0	0.000269	3.902	3.9	1.27376e+07	83.5721	3	1	256.279	-10	-10	-10	0	0	0	0	0	0.0662102	0
0	0.00027	3.895	3.9	1.12097e+07	83.5715	3	1	256.791	-10	-10	-10	0	0	0	0	0	0.0663519	0
0	0.000271	3.885	3.88	1.14611e+07	83.5743	3	1	257.387	-10	-10	-10	0	0	0	0	0	0.0884692	0
