# gsd	mle
108.75	-0.000112039
108.8	0.000522626
108.85	0.000782953
108.9	0.000828654
108.95	0.000526271
109	0.0011974
109.05	0.000826551
109.1	0.00111503
109.15	0.0012074
109.2	0.0015955
109.25	0.00187447
109.3	0.00246614
109.35	0.00244679
109.4	0.00307607
109.45	0.00302473
109.5	0.00312417
109.55	0.00294554
109.6	0.00310219
109.65	0.00314099
109.7	0.000324883
109.75	0.00323924
109.8	0.00255525
109.85	0.00190469
109.9	0.0030305
109.95	0.0020328
110	0.00334254
110.05	0.00257779
110.1	0.00276906
110.15	0.00279805
110.2	0.00218315
110.25	0.00313783
110.3	0.00298365
110.35	0.00179911
110.4	0.00257867
110.45	0.00542597
110.5	0.00410981
110.55	0.00392764
110.6	0.00310167
110.65	0.00273455
110.7	0.00303378
110.75	-3.54866e-05
110.8	0.0018867
110.85	0.00476526
110.9	0.00493267
110.95	0.00171893
111	0.00332461
111.05	0.00309956
111.1	0.00308909
111.15	0.00404072
111.2	0.00264906
111.25	0.00212227
111.3	0.00205799
111.35	0.00320735
111.4	0.00230564
111.45	0.00217418
111.5	0.0040216
111.55	0.00215412
111.6	0.00279281
111.65	0.00298981
111.7	0.00215048
111.75	0.00217612
111.8	0.00268611
111.85	0.00284817
111.9	0.00301214
111.95	0.00253927
112	0.00247031
112.05	0.00392591
112.1	0.00282026
112.15	0.00536296
112.2	0.00486056
112.25	0.00319679
112.3	0.00482553
112.35	-0.000123384
112.4	0.00395718
112.45	0.00390921
112.5	0.00323058
112.55	0.00393656
112.6	0.00353753
112.65	0.00433808
112.7	0.00280057
112.75	0.00378581
112.8	0.00462336
112.85	0.00372356
112.9	0.00469858
112.95	0.00351146
113	0.00453884
113.05	0.00329652
113.1	0.004337
113.15	0.00359924
113.2	0.00464815
113.25	0.00375998
113.3	0.00408689
113.35	0.00378682
113.4	0.00451673
113.45	0.00422448
113.5	0.00560823
113.55	0.00295236
113.6	0.00351447
113.65	0.00434984
113.7	0.0047041
113.75	0.00404272
113.8	0.00403407
113.85	0.00176877
113.9	0.000114569
113.95	0.000195295
114	0.000127442
114.05	9.01012e-05
114.1	0.000250854
114.15	0.00073089
114.2	0.000158564
114.25	0.000269246
114.3	0.000249514
114.35	0.000212066
114.4	0.000168267
114.45	0.000123849
114.5	8.30809e-05
114.55	4.99464e-05
114.6	2.87573e-05
114.65	2.23627e-05
114.7	3.15664e-05
114.75	5.41783e-05
114.8	7.1984e-05
114.85	0.000194697
114.9	0.000395311
114.95	0.000782475
115	0.000207626
115.05	9.85727e-05
115.1	0.000180081
115.15	0.00017182
115.2	9.76418e-05
115.25	-9.7073e-05
115.3	8.88009e-06
115.35	8.73968e-05
115.4	-0.000104718
115.45	0.00037734
115.5	0.000543458
115.55	0.0020609
115.6	0.00142887
115.65	0.00387936
115.7	0.00373938
115.75	0.00244213
115.8	0.00384921
115.85	0.00224679
115.9	0.00418797
115.95	0.00375393
116	0.00347209
116.05	0.00419415
116.1	0.0029825
116.15	0.00324732
116.2	0.00191734
116.25	0.00386069
116.3	0.00364139
116.35	0.0027997
116.4	0.00371718
116.45	0.00370675
116.5	0.00220396
116.55	0.00242076
116.6	0.00281228
116.65	0.00285725
116.7	0.00346718
116.75	0.00358297
116.8	0.00257369
116.85	0.00312322
116.9	0.00565307
116.95	0.00364737
117	6.80295e-05
117.05	0.00281419
117.1	0.00185025
117.15	0.00360866
117.2	0.00473288
117.25	0.0043039
117.3	0.00348961
117.35	0.00357933
117.4	0.00428157
117.45	0.00363762
117.5	0.0034966
117.55	0.0031047
117.6	0.00403715
117.65	0.00457149
117.7	0.00341018
117.75	0.00289595
117.8	0.00161988
117.85	0.0030573
117.9	0.00352335
117.95	0.00435485
118	0.00257477
118.05	0.0035703
118.1	0.00392728
118.15	0.00392263
118.2	0.00414527
118.25	0.00392301
118.3	0.00418154
118.35	0.00386967
118.4	0.00426033
118.45	0.00427213
118.5	0.00299787
118.55	0.00407378
118.6	0.00353415
118.65	-0.000190546
118.7	-0.000153936
118.75	-0.000172712
118.8	-0.000108017
118.85	1.9267e-05
118.9	0.000153481
118.95	-4.34889e-05
119	-0.000175578
119.05	-0.000183573
119.1	0.000206407
119.15	0.000662399
119.2	0.00233062
119.25	0.00208143
119.3	0.00242528
119.35	0.00315942
119.4	0.00354316
119.45	0.00262597
119.5	0.00336717
119.55	0.00299167
119.6	0.00210418
119.65	0.00356787
119.7	0.000325102
119.75	0.00315009
119.8	0.00314541
119.85	0.00288251
119.9	0.00302495
119.95	0.00300194
120	0.00367968
120.05	0.0051655
120.1	0.00328103
120.15	0.00376668
120.2	0.00332006
120.25	0.00303481
120.3	0.00384696
120.35	0.00239429
120.4	0.00438771
120.45	-0.000103059
120.5	0.00325888
120.55	0.00192818
120.6	0.00270187
120.65	0.00315257
120.7	0.00276774
120.75	0.00319503
120.8	0.00341963
120.85	0.00416875
120.9	0.00346874
120.95	-6.55634e-05
121	-0.000154688
121.05	0.000100019
121.1	0.000148147
121.15	-0.000256799
121.2	0.00107669
121.25	0.000855919
121.3	0.00264577
121.35	0.00305821
121.4	0.00360385
121.45	0.00310509
121.5	0.00272241
121.55	0.00309701
121.6	0.00306199
121.65	0.00344345
121.7	0.00388196
121.75	0.00324417
121.8	0.0027035
121.85	0.00493529
121.9	0.00368149
121.95	0.00227562
122	0.00230781
122.05	0.00208835
122.1	0.00278881
122.15	0.00348001
122.2	0.00127637
122.25	7.36489e-05
122.3	0.00019234
122.35	0.000725333
122.4	0.00262708
122.45	0.00257819
122.5	0.00269271
122.55	0.00364451
122.6	0.00277131
122.65	0.00166854
122.7	0.00223738
122.75	0.00246565
122.8	0.0024059
122.85	0.00377628
122.9	0.00203415
122.95	0.00259088
123	0.000364261
123.05	0.000489567
123.1	0.00207723
123.15	0.00163136
123.2	0.00154973
123.25	0.00290677
123.3	0.00315748
123.35	0.00202647
123.4	0.00256908
123.45	0.00335938
123.5	0.000258984
123.55	0.00209734
123.6	0.00213933
123.65	0.00224678
123.7	0.00205209
123.75	0.00147778
123.8	0.00267915
123.85	-0.000133372
123.9	0.000972462
123.95	0.00196049
124	0.00145133
124.05	0.00322887
124.1	0.000906109
124.15	0.00174445
124.2	0.0016918
124.25	-0.000676201
124.3	0.00229282
124.35	0.00103028
124.4	0.000323028
124.45	0.00164767
124.5	0.000505989
124.55	0.0016832
124.6	0.00290485
124.65	0.000393738
124.7	0.000295986
124.75	0.00127306
124.8	0.00119479
124.85	0.000695443
124.9	0.00122637
124.95	0.00193753
125	0.000740209
125.05	0.000746741
125.1	0.000112945
125.15	6.39296e-05
125.2	0.000210838
125.25	0.00013653
125.3	7.03841e-05
125.35	0.000175035
125.4	0.000111253
125.45	0.00019583
125.5	0.000164711
125.55	6.10816e-05
125.6	-7.13988e-06
125.65	5.27345e-05
125.7	-0.000164406
125.75	0.000126976
125.8	0.000168065
125.85	0.000139342
125.9	4.7615e-05
125.95	-0.000169358
126	-0.000147908
126.05	-0.000302076
126.1	-0.000197241
126.15	-0.000318736
126.2	-0.000348977
126.25	-0.000260822
126.3	-0.000248478
126.35	-0.000309186
126.4	-0.000296013
126.45	-0.000150797
126.5	-7.00348e-05
126.55	-3.49346e-06
126.6	6.91486e-05
126.65	0.000210101
126.7	0.000190575
126.75	-0.000236639
126.8	8.63463e-05
126.85	7.14659e-05
126.9	1.32253e-05
126.95	-0.00010886
127	-0.000265981
127.05	-0.000257889
127.1	-0.000182163
127.15	-7.45108e-05
127.2	-2.83167e-05
127.25	-3.99524e-06
127.3	8.67835e-06
127.35	1.41575e-05
127.4	1.50841e-05
127.45	1.28495e-05
127.5	8.31014e-06
127.55	2.00239e-06
127.6	-5.73963e-06
127.65	-1.46529e-05
127.7	-2.46157e-05
127.75	-3.55593e-05
127.8	-4.75041e-05
127.85	-6.03552e-05
127.9	-7.41919e-05
127.95	-8.91073e-05
128	-0.000105232
128.05	-0.000122767
128.1	-0.000142027
128.15	-0.000163187
128.2	-0.000187822
128.25	-0.000216031
128.3	-0.000251092
128.35	-0.000297984
128.4	-0.00037367
128.45	-0.00125886
128.5	-0.000388294
128.55	-0.00032544
128.6	-0.00029131
128.65	-0.000268922
128.7	-0.000253115
128.75	-0.000241265
