# gsd	gsr	firingRate	maxFreq	ampFreq	ampOscil	class	meanEv	meanCT	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10
0.0001	0.000241	0	0.02	0.00655437	1.41709e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000242	0	0.02	0.0117913	2.25484e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000243	0	0.02	0.0186681	3.93156e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000244	0	0.02	0.0178706	4.00277e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000245	0	0.02	0.00564445	2.14443e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000246	0	0.02	0.00128273	4.01847e-09	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000247	0	0.02	0.022554	4.11208e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000248	0	0.02	0.0241577	4.47812e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000249	0	0.02	0.0108525	2.23889e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.00025	0	0.02	0.00335553	7.65908e-09	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000251	0	0.02	0.006742	1.69445e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000252	0	0.02	0.0148548	3.03554e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000253	0	0.02	0.0095391	2.15732e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000254	0	0.02	0.017748	4.66826e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000255	0	0.02	0.0108129	2.39556e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000256	0	0.02	0.00574931	2.7209e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000257	0	0.02	0.00909898	2.64606e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000258	0	0.02	0.0148536	3.16062e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000259	0	0.02	0.0212221	5.83125e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.00026	0	0.02	0.0181331	4.00756e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000261	0	0.02	0.0164832	3.4303e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000262	0	0.04	0.0138958	4.29049e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000263	0	0.02	0.0153971	3.63454e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000264	0	0.02	0.0109669	3.17406e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000265	0	0.06	0.0313628	1.03591e-07	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
